DZ_Nr,Koor_WGS84_N,Koor_WGS84_E,Anmerkungen
9033,49.98827092,9.02991729,
9011,49.74931005,9.83747929,Baustelle in 2013 und in 2012 / Geänderte Fahrzeugartenanalyse
9034,49.75091045,9.79432498,Baustelle zeitweise in 2013 und in 2012 / Geänderte Fahrzeugartenanalyse
9046,49.39795561,11.30551384,
9038,49.78646362,10.15925843,
9036,49.7742874,10.07921913,Baustelle in 2013 und in 2012
9093,48.82191416,12.92977988,Hochwasser im Juni 2013
9050,49.54115116,11.0227042,
9951,49.56011538,10.98305259,Schleifendefekt zeitweise in 2013
9040,49.45415266,11.25529647,
9039,49.46625023,11.21792788,
9080,48.99107416,12.07535774,
9074,48.99562304,12.03033273,
9628,48.67309516,13.25121338,Schleifendefekt zeitweise in 2013
9041,49.77013722,10.47297718,Schleifendefekt zeitweise in 2013
9010,50.00219934,9.22913755,Schleifendefekt zeitweise in 2013 und Baustelle in 2012
9027,49.78140656,10.26205774,
9051,49.31516976,11.47989321,
9081,49.03566576,11.93573767,
9085,48.41777725,13.40514367,Hochwasser im Juni 2013
9252,49.72285701,10.82745274,Schleifendefekt zeitweise in 2013
9251,49.7356507,10.80637361,
9076,49.00060794,12.1712834,Hochwasser im Juni 2013
9009,48.99727592,12.14530366,Hochwasser im Juni 2013
9991,49.89863839,9.3916159,Schleifendefekt zeitweise in 2013
9077,48.99260718,12.22520018,Hochwasser im Juni 2013
9627,49.75981822,10.5852162,Datenübertragungsprobleme zeitweise in 2013
9159,49.74918532,9.88854929,Neue Zählstelle ab Januar 2013
9054,49.40814958,11.32497501,
9567,49.20894304,10.24888809,Baustelle zeitweise in 2012
9566,49.2047837,10.2198621,Baustelle und Schleifendefekt zeitweise in 2012
9753,49.39804701,11.21221484,Schleifendefekt zeitweise in 2013
9047,49.39372351,11.18950474,
9944,49.33828809,11.06885301,
9088,49.52588336,12.1804093,
9238,49.49783971,12.14846621,
9018,49.40839518,11.59073207,Schleifendefekt zeitweise in 2013
9239,49.39912435,11.97449336,Schleifendefekt zeitweise in 2013
9751,49.26281287,10.51040836,
9055,49.32559245,11.05080587,
9008,49.63176413,12.50608989,Baustelle zeitweise in 2013 und Gerätedefekt in 2012
9097,47.67953838,10.37300972,
9230,48.31596927,10.09213082,Schleifendefekt zeitweise in 2013
9037,49.78839444,10.07522679,Gerätedefekt zeitweise in 2013
9452,49.77069402,10.09893934,Gerätedefekt zeitweise in 2013
