FID,LON,LAT,WKT,Anmerkungen
9093,48.82191416,12.92977988,48.82191416 12.92977988,Hochwasser im Juni 2013
9085,48.41777725,13.40514367,48.41777725 13.40514367,Hochwasser im Juni 2013
9076,49.00060794,12.1712834,49.00060794 12.1712834,Hochwasser im Juni 2013
9009,48.99727592,12.14530366,48.99727592 12.14530366,Hochwasser im Juni 2013
9077,48.99260718,12.22520018,48.99260718 12.22520018,Hochwasser im Juni 2013
9180,47.81362364,12.07154323,47.81362364 12.07154323,Hochwasser im Juni 2013
9032,47.7683312,12.94081783,47.7683312 12.94081783,Schleifendefekt zeitweise in 2013 / Hochwasser im Juni 2013
9028,47.83238379,12.38918719,47.83238379 12.38918719,Hochwasser im Juni 2013
9026,47.80351657,12.301066,47.80351657 12.301066,Hochwasser im Juni 2013
9171,47.93634145,11.70464187,47.93634145 11.70464187,Schleifendefekt zeitweise in 2013 / Hochwasser im Juni 2013
9031,47.83065132,12.74318698,47.83065132 12.74318698,Hochwasser im Juni 2013
9023,47.80598654,12.13809192,47.80598654 12.13809192,Hochwasser im Juni 2013 und Baustelle zeitweise in 2012
9019,48.6885354,12.64836728,48.6885354 12.64836728,Hochwasser im Juni 2013
9295,48.90572985,12.48228135,48.90572985 12.48228135,Ausweichverkehr durch Hochwasser im Juni 2013
9401,48.87255099,12.96001595,48.87255099 12.96001595,Schleifendefekt in 2013 / Hochwasser im Juni 2013
9254,48.83634436,12.11816822,48.83634436 12.11816822,Hochwasser im Juni 2013 und neue Zählstelle ab März 2012
9148,48.40564064,12.77789839,48.40564064 12.77789839,Ausweichverkehr durch Hochwasser im Juni 2013
9149,48.40296183,12.77494917,48.40296183 12.77494917,Ausweichverkehr durch Hochwasser im Juni 2013
9109,47.92615692,12.93863496,47.92615692 12.93863496,Hochwasser im Juni 2013
9121,47.69261768,12.84981641,47.69261768 12.84981641,Hochwasser im Juni 2013
9285,47.67129144,12.76316727,47.67129144 12.76316727,Hochwasser im Juni 2013 und Baustelle zeitweise in 2012
9290,49.20372508,12.51057928,49.20372508 12.51057928,Hochwasser im Juni 2013
9142,47.86947915,12.66766039,47.86947915 12.66766039,Ausweichverkehr durch Hochwasser im Juni 2013 und Gerätedefekt in 2012
9143,47.87556106,12.65792407,47.87556106 12.65792407,Neue Zählstelle ab Januar 2013 / Ausweichverkehr durch Hochwasser im Juni 2013
9462,48.40672972,12.7807766,48.40672972 12.7807766,Schleifendefekt zeitweise in 2013 / Ausweichverkehr durch Hochwasser im Juni 2013
