TK_Nr;DZ_Nr;DZ_Name;Land_Nr;Land_Code;Str_Kl;Str_Nr;Str_Zus;Erf_Art;Fernziel_Ri1;Nahziel_Ri1;Hi_Ri1;Fernziel_Ri2;Nahziel_Ri2;Hi_Ri2;Anz_Fs_Q;Betriebs_km;vT_MobisSo;vT_W;vT_U;vT_S;DTV_Kfz_MobisSo_Q;DTV_Kfz_MobisSo_Ri1;DTV_Kfz_MobisSo_Ri2;DTV_Kfz_W_Q;DTV_Kfz_W_Ri1;DTV_Kfz_W_Ri2;DTV_Kfz_U_Q;DTV_Kfz_U_Ri1;DTV_Kfz_U_Ri2;DTV_Kfz_S_Q;DTV_Kfz_S_Ri1;DTV_Kfz_S_Ri2;Entw_Kfz_MobisSo_Q;Entw_Kfz_W_Q;Entw_Kfz_U_Q;Entw_Kfz_S_Q;DTV_SV_MobisSo_Q;DTV_SV_MobisSo_Ri1;DTV_SV_MobisSo_Ri2;DTV_SV_W_Q;DTV_SV_W_Ri1;DTV_SV_W_Ri2;DTV_SV_U_Q;DTV_SV_U_Ri1;DTV_SV_U_Ri2;DTV_SV_S_Q;DTV_SV_S_Ri1;DTV_SV_S_Ri2;Entw_SV_MobisSo_Q;Entw_SV_W_Q;Entw_SV_U_Q;Entw_SV_S_Q;pSV_MobisSo_Q;pSV_W_Q;pSV_U_Q;pSV_S_Q;fer;bSo;bFr;Mt;pMt;Mn;pMn;Md;pMd;Me;pMe;MSV30_Kfz_MobisSo_Q;MSV30_Kfz_W_Q;MSV30_Kfz_U_Q;MSV30_Kfz_S_Q;MSV30maxRi_Kfz_MobisSo;MSV30maxRi_Kfz_W;MSV30maxRi_Kfz_U;MSV30maxRi_Kfz_S;pMSV30maxRi_Kfz_MobisSo;pMSV30maxRi_Kfz_W;pMSV30maxRi_Kfz_U;pMSV30maxRi_Kfz_S;Ri_MSV30maxRi_Kfz_MobisSo;Ri_MSV30maxRi_Kfz_W;Ri_MSV30maxRi_Kfz_U;Ri_MSV30maxRi_Kfz_S;DL_Q;DL_Ri1;DL_Ri2;JG;WG_Ri1;WG_Ri2;TG_Mo_Ri1;TGMax1_Mo_Ri1;TGMax2_Mo_Ri1;TG_Mo_Ri2;TGMax1_Mo_Ri2;TGMax2_Mo_Ri2;TG_DiMiDo_Ri1;TGMax1_DiMiDo_Ri1;TGMax2_DiMiDo_Ri1;TG_DiMiDo_Ri2;TGMax1_DiMiDo_Ri2;TGMax2_DiMiDo_Ri2;TG_Fr_Ri1;TGMax1_Fr_Ri1;TGMax2_Fr_Ri1;TG_Fr_Ri2;TGMax1_Fr_Ri2;TGMax2_Fr_Ri2;TG_Sa_Ri1;TGMax1_Sa_Ri1;TGMax2_Sa_Ri1;TG_Sa_Ri2;TGMax1_Sa_Ri2;TGMax2_Sa_Ri2;TG_SoFei_Ri1;TGMax1_SoFei_Ri1;TGMax2_SoFei_Ri1;TG_SoFei_Ri2;TGMax1_SoFei_Ri2;TGMax2_SoFei_Ri2;pPLZ_MobisSo_Q;pLfw_MobisSo_Q;pMot_MobisSo_Q;pPmA_MobisSo_Q;pLoA_MobisSo_Q;pLzg_MobisSo_Q;pSat_MobisSo_Q;pBus_MobisSo_Q;pSon_MobisSo_Q;pPLZ_W_Q;pLfw_W_Q;pMot_W_Q;pPmA_W_Q;pLoA_W_Q;pLzg_W_Q;pSat_W_Q;pBus_W_Q;pSon_W_Q;pPLZ_U_Q;pLfw_U_Q;pMot_U_Q;pPmA_U_Q;pLoA_U_Q;pLzg_U_Q;pSat_U_Q;pBus_U_Q;pSon_U_Q;pPLZ_S_Q;pLfw_S_Q;pMot_S_Q;pPmA_S_Q;pLoA_S_Q;pLzg_S_Q;pSat_S_Q;pBus_S_Q;pSon_S_Q;Koor_UTM32_E;Koor_UTM32_N;DTV_Kfz_WU_MobisFr_Q;DTV_Kfz_WU_MobisFr_Ri1;DTV_Kfz_WU_MobisFr_Ri2;DTV_SV_WU_MobisFr_Q;DTV_SV_WU_MobisFr_Ri1;DTV_SV_WU_MobisFr_Ri2;DTV_Kfz_WU_Sa_Q;DTV_Kfz_WU_Sa_Ri1;DTV_Kfz_WU_Sa_Ri2;DTV_SV_WU_Sa_Q;DTV_SV_WU_Sa_Ri1;DTV_SV_WU_Sa_Ri2;MSV30_Kfz_MobisSo_Ri1;MSV30_Kfz_MobisSo_Ri2;MSV30_Kfz_W_Ri1;MSV30_Kfz_W_Ri2;MSV30_Kfz_U_Ri1;MSV30_Kfz_U_Ri2;MSV30_Kfz_S_Ri1;MSV30_Kfz_S_Ri2;bSV30_MobisSo_Ri1;bSV30_MobisSo_Ri2;bSV30_W_Ri1;bSV30_W_Ri2;bSV30_U_Ri1;bSV30_U_Ri2;bSV30_S_Ri1;bSV30_S_Ri2;DTV_Kfz_W_MobisFr_Q;DTV_Kfz_W_MobisFr_Ri1;DTV_Kfz_W_MobisFr_Ri2;DTV_SV_W_MobisFr_Q;DTV_SV_W_MobisFr_Ri1;DTV_SV_W_MobisFr_Ri2;pSV_W_MobisFr_Q;pSV_W_MobisFr_Ri1;pSV_W_MobisFr_Ri2;Koor_WGS84_N;Koor_WGS84_E;MSV50_Kfz_MobisSo_Ri1;MSV50_Kfz_MobisSo_Ri2;pMSV50_Kfz_MobisSo_Ri1;pMSV50_Kfz_MobisSo_Ri2;bSV50_MobisSo_Ri1;bSV50_MobisSo_Ri2;bLkwK50_MobisSo_Ri1;bLkwK50_MobisSo_Ri2;pMSV50_Kfz_W_MobisFr_Ri1;pMSV50_Kfz_W_MobisFr_Ri2;DTV_Kfz_NZB_DiMiDo_Ri1;DTV_Kfz_NZB_DiMiDo_Ri2;bSo_Ri1;bSo_Ri2;bMo_Ri1;bMo_Ri2;bFr_Ri1;bFr_Ri2;bSa_Ri1;bSa_Ri2;Q_P_D;Q_L1_D;Q_L2_D;Q_K_D;Q_P_E;Q_L1_E;Q_L2_E;Q_K_E;Q_P_N;Q_L1_N;Q_L2_N;Q_K_N;Geo_Sequ;Abschnitt_Ast;Station;Ausrichtung;Anmerkungen
6020;9033;AD Seligenstadt (O);9;BY;A;3;;8+1;Würzburg;AS Stockstadt (B469);S;Frankfurt a. Main;AD Seligenstädter Dreieck (A45);N;6;205,7;345;205;79;61;94.390;49.077;45.313;97.634;51.531;46.103;98.457;50.603;47.854;78.079;38.724;39.355;2,2;1,3;3,9;3,1;15.212;8.006;7.206;18.595;9.818;8.777;15.795;8.308;7.487;2.886;1.416;1.470;1,5;1,6;0,5;0,6;16,1;19;16;3,7;1,01;0,77;1,1;5.212;13,7;1.375;34,4;5.587;14;4.086;12,3;8.514;8.455;8.116;7.114;4.945;4.931;4.560;3.934;10,1;9,6;9;10;R I;R I;R I;R II;E;D;D;D;B;B;D;8;18;G;8;;E;18;;B;8;;E;17;;C;;;B;11;;D;14;;A;;;D;18;;81,5;7,2;0,7;1,2;3,3;12,4;9,3;0,4;1,2;78,7;7,6;0,6;1,1;3,8;14,9;11,1;0,4;1,2;81,3;7,2;0,7;1,4;3,2;12,4;9,3;0,4;1,3;93,6;5,4;0,9;1,5;1,2;1,9;1,5;0,5;1,2;502.145;5.537.327;100.135;52.568;47.567;19.951;10.544;9.407;86.957;45.103;41.854;7.687;3.962;3.725;4.945;4.016;4.931;3.884;4.560;3.833;3.599;3.934;12,5;12,3;11,2;12,8;10,5;9,5;2,5;2,6;100.132;52.911;47.220;20.483;10.834;9.649;20,5;20,5;20,4;49,98827092;9,02991729;;;;;;;;;;;53.216;48.160;0,72;0,81;0,94;0,99;1,11;1,08;0,8;0,8;;;;;;;;;;;;;460;;;;
6225;9011;AD Würzburg-West (O);9;BY;A;3;;8+1;Würzburg;AS Würzburg/Kist;S;Frankfurt a. Main;AD Dreieck Würzburg-West (A81);N;6;280,2;0;0;0;0;77.838;37.450;40.388;78.532;38.026;40.505;79.136;37.960;41.175;73.803;34.825;38.979;-0,3;-0,4;0;-0,7;16.685;8.172;8.513;20.325;9.944;10.380;17.122;8.379;8.743;3.672;1.844;1.828;-0,3;0,2;-2,4;-2,8;21,4;25,9;21,6;5;1,01;0,95;1,14;4.224;17,9;1.282;44,8;4.444;17,2;3.562;20,4;7.343;6.918;6.412;6.997;4.170;3.956;3.679;3.933;10,3;9,8;8,9;10,1;R II;R II;R II;R II;E;C;D;D;D;D;C;;;C;;;C;;;C;;;C;;;E;17;;B;11;;D;15;;A;;;D;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560.331;5.511.095;79.604;38.444;41.161;21.677;10.489;11.187;74.347;35.924;38.423;8.801;4.866;3.935;3.421;4.170;3.147;3.956;3.036;3.679;3.412;3.933;17,1;11;14,6;9,6;6,7;4,6;3,5;2,4;79.799;38.648;41.150;22.308;10.812;11.495;28;28;27,9;49,74931005;9,83747929;;;;;;;;;;;38.433;41.099;0,92;0,92;0,95;1,01;1,17;1,1;0,89;0,83;;;;;;;;;;;;;350;;;;Baustelle in 2013 und in 2012 / Geänderte Fahrzeugartenanalyse
6224;9034;AD Würzburg-West (W);9;BY;A;3;;8+1;Frankfurt a. Main;AS Helmstadt;N;Würzburg;AD Dreieck Würzburg-West (A81);S;6;277;297;173;69;55;61.556;31.306;30.249;60.849;31.297;29.552;65.421;32.769;32.651;59.021;29.463;29.558;-2;-2,7;-1,4;-0,3;13.314;6.827;6.487;16.212;8.322;7.890;13.825;7.115;6.711;2.744;1.345;1.399;5,5;5,6;4,6;2,4;21,6;26,6;21,1;4,6;1,08;0,87;1,13;3.343;18,2;1.009;44,4;3.568;18,3;2.668;17,9;6.121;5.702;5.779;5.971;3.404;2.963;3.136;3.323;11,3;9,5;9,6;11,2;R II;R I;R II;R II;E;D;C;F;B;D;C;;;C;;;C;;;C;;;C;;;E;17;;B;12;;D;13;;A;;;C;14;;75,4;7;0,9;1,7;3,5;17,6;13,4;0,5;1,2;70,6;7,3;0,8;1,5;4,1;22,1;16,7;0,5;1,2;75,6;6,9;0,9;1,9;3,4;17,3;13,2;0,5;1,3;92,2;5,7;1;2;1,5;2,5;1,9;0,7;1,2;557.220;5.511.239;62.386;31.753;30.633;17.277;8.830;8.447;60.700;31.435;29.265;7.350;3.986;3.364;3.090;3.404;2.963;2.907;2.975;3.136;2.951;3.323;2,5;7,8;10,3;8,4;3,1;10,7;3,3;2,9;61.513;31.541;29.972;17.737;9.067;8.670;28,8;28,7;28,9;49,75091045;9,79432498;;;;;;;;;;;31.026;30.532;0,88;0,94;0,92;0,99;1,13;1,1;0,89;0,85;;;;;;;;;;;;;360;;;;Baustelle zeitweise in 2013 und in 2012 / Geänderte Fahrzeugartenanalyse
6633;9046;AK Altdorf (S);9;BY;A;3;;8+1;Passau;AS Altdorf/Burgthann;S;Nürnberg;AK Kreuz Altdorf (A6);N;4;411,5;307;183;72;52;48.030;24.251;23.779;49.912;25.622;24.290;50.356;24.991;25.365;38.610;18.610;20.000;1,4;0,6;2,2;3,2;10.042;5.200;4.843;12.250;6.354;5.896;10.595;5.469;5.127;1.778;903;875;1,9;2,1;0,9;-1,1;20,9;24,5;21;4,6;1,01;0,72;1,06;2.626;18,5;752;37,9;2.838;18,5;1.991;18,5;4.339;4.278;4.160;3.905;2.503;2.468;2.220;2.229;10,5;10,2;8,9;11,1;R II;R II;R I;R II;E;D;D;E;B;B;E;18;;B;8;;E;18;;B;8;;C;;;B;8;;A;;;A;;;A;;;A;;;76,4;8,2;1,1;1,6;4;16,5;12,8;0,4;1,1;72,9;8,5;1,1;1,5;4,5;19,7;15,2;0,3;1,1;76,1;8;1,1;1,8;3,9;16,8;13;0,3;1,1;92,2;6,8;1,3;2,1;1,8;2,3;1,8;0,6;1,1;667.277;5.474.252;51.560;26.082;25.478;12.986;6.665;6.322;42.719;22.425;20.293;6.117;3.473;2.644;2.470;2.503;2.452;2.468;2.220;2.181;1.911;2.229;15,9;2,8;13,9;11,3;14,1;12,1;2,3;2,7;51.562;26.300;25.262;13.298;6.842;6.455;25,8;26;25,6;49,39795561;11,30551384;;;;;;;;;;;26.182;25.530;0,7;0,76;0,92;0,99;1,1;1,03;0,8;0,74;;;;;;;;;;;;;130;;;;
6226;9038;AK Biebelried (O);9;BY;A;3;;8+1;Würzburg;AK Kreuz Biebelried (A7);N;Nürnberg;AS Kitzingen/Schwarzach;S;4;306,4;304;178;69;57;63.194;30.949;32.245;62.502;30.127;32.375;66.976;33.630;33.346;60.715;30.329;30.386;4,6;3,8;5,2;6,6;13.372;6.452;6.920;16.258;7.822;8.436;13.863;6.685;7.179;2.867;1.464;1.403;3,2;3,5;1,8;1,3;21,2;26;20,7;4,7;1,07;0,94;1,15;3.411;17,7;1.076;43,2;3.633;17,5;2.748;18,4;6.209;5.826;5.600;6.026;3.629;3.479;2.980;3.153;11,3;10,7;8,9;10,4;R II;R II;R I;R II;E;D;B;F;D;D;C;;;C;;;C;;;C;;;E;17;;C;;;D;13;;B;12;;C;15;;A;;;76,1;7,6;0,6;1,8;3,2;17,4;13,6;0,5;1;71,4;8;0,5;1,6;3,7;21,8;16,9;0,5;1;76,2;7,4;0,7;2;3;17,2;13,4;0,5;1,1;92,2;6,1;0,8;2,1;1,5;2,5;2;0,7;1;583.447;5.515.534;63.786;31.163;32.623;17.202;8.342;8.861;63.412;30.691;32.721;7.958;3.539;4.419;3.176;3.629;2.753;3.479;2.980;2.964;3.133;3.153;3,3;6,5;10,5;8,4;3;3,4;2,6;3,7;63.063;30.457;32.607;17.673;8.555;9.118;28;28,1;28;49,78646362;10,15925843;;;;;;;;;;;31.044;32.267;0,93;0,92;0,98;0,91;1,1;1,18;0,84;0,9;;;;;;;;;;;;;300;;;;
6226;9036;AK Biebelried (W);9;BY;A;3;;8+1;Würzburg;AS Rottendorf;N;Nürnberg;AK Kreuz Biebelried (A7);S;4;300,2;0;0;0;0;72.682;35.224;37.458;72.321;34.904;37.417;77.162;38.295;38.867;68.175;32.384;35.792;3,2;2,5;4;4,7;15.423;7.332;8.091;18.774;8.923;9.851;15.973;7.540;8.433;3.253;1.619;1.635;3,7;3,9;2,4;1;21,2;26;20,7;4,8;1,07;0,92;1,15;3.932;17,5;1.221;45,5;4.197;16,8;3.138;19,9;7.535;7.105;7.118;6.517;4.103;3.978;3.930;3.540;11;10,6;10,3;9,9;R II;R II;R I;R II;E;C;C;E;C;D;C;;;C;;;C;;;C;;;E;16;;E;16;;D;14;;B;12;;C;15;;A;;;74,6;6,7;0,9;2;3,8;16,7;12;0,7;2,2;70;6,7;0,8;1,8;4,6;20,7;14,8;0,7;2,2;74,8;7,2;0,9;2,1;3,6;16,5;11,8;0,6;2,4;90,8;6;1,3;2,3;1,5;2,5;1,8;0,8;2,1;577.705;5.514.094;74.199;36.131;38.068;19.960;9.549;10.411;70.964;34.379;36.585;8.675;3.745;4.930;3.940;4.103;3.403;3.978;3.930;3.664;3.219;3.540;8,6;10,8;11,3;14,8;6,9;3,4;3,1;2,7;73.346;35.408;37.938;20.504;9.813;10.691;28;27,7;28,2;49,7742874;10,07921913;;;;;;;;;;;35.775;37.004;0,86;0,95;0,96;1,02;1,16;1,13;0,86;0,84;;;;;;;;;;;;;310;;;;Baustelle in 2013 und in 2012
7143;9093;AK Deggendorf (W);9;BY;A;3;;8+1;Nürnberg;AS Metten;N;Passau;AK Kreuz Deggendorf (A92);S;4;561,9;327;191;78;58;37.629;19.316;18.313;37.631;19.907;17.723;41.682;20.948;20.734;32.430;15.199;17.231;0,4;-1;2,2;2,9;8.762;4.527;4.236;10.638;5.525;5.113;9.387;4.862;4.526;1.545;681;864;-0,3;-0,5;-0,7;-1,7;23,3;28,3;22,5;4,8;1,11;0,75;1,07;2.031;21,3;642;35,8;2.237;21,5;1.412;20,3;3.863;3.325;3.714;3.499;2.251;1.882;2.134;2.018;12,3;9,5;10,3;11,7;R II;R I;R II;R II;E;C;B;F;B;B;C;;;C;;;C;;;C;;;C;;;E;14;;B;11;;B;11;;B;14;;A;;;72,9;4,6;0,4;2,2;4;18,8;15,3;0,5;1,6;67,9;4,8;0,4;2,1;4,7;23,1;18,8;0,5;1,8;73,7;4,5;0,4;2,3;3,8;18,3;14,9;0,5;1,6;91,8;3,6;0,4;2,6;1,7;2,5;1,9;0,6;0,8;788.427;5.415.109;39.224;20.290;18.934;11.258;5.758;5.499;36.391;19.718;16.673;5.697;3.362;2.335;1.982;2.251;1.882;1.583;1.838;2.134;1.671;2.018;15,5;2,4;13;6,9;8,1;19,6;1,4;1,8;38.387;20.118;18.269;11.480;5.887;5.593;29,9;29,3;30,6;48,82191416;12,92977988;;;;;;;;;;;19.001;17.890;0,73;0,91;0,92;1,06;1,15;0,98;0,9;0,78;;;;;;;;;;;;;40;;;;Hochwasser im Juni 2013
6432;9050;AK Fürth/Erlangen (O);9;BY;A;3;;8+1;Nürnberg;AS Erlangen-Tennenlohe;S;Würzburg;AK Kreuz Fürth/Erlangen (A73);N;6;384,4;327;194;74;59;92.130;47.176;44.954;95.112;49.074;46.039;95.730;48.089;47.641;77.313;39.515;37.798;3;2,6;3,9;3;15.318;7.661;7.657;18.595;9.342;9.253;15.959;7.993;7.966;3.283;1.486;1.798;2,5;2,8;1,2;-1,1;16,6;19,6;16,7;4,2;1,01;0,79;1,11;5.116;14,3;1.285;35,1;5.548;14,3;3.818;14,4;8.264;8.231;7.763;7.391;4.326;4.326;4.108;3.973;9,2;8,8;8,6;10,5;R I;R I;R II;R II;F;D;D;E;B;B;B;8;;D;9;17;D;8;18;D;9;17;C;;;E;15;;B;12;;C;11;13;A;;;C;13;;80,4;7;2,4;1,4;3,6;12,6;9,8;0,4;1,6;77,6;7,4;2,4;1,2;4,1;15,1;11,7;0,3;1,6;80,1;7;2,3;1,7;3,6;12,8;9,9;0,3;1,5;92,4;5,7;2,4;1,8;1,5;2,2;1,8;0,6;1,5;646.332;5.489.582;97.473;49.903;47.571;19.738;9.832;9.907;84.781;43.551;41.230;8.963;4.868;4.095;4.326;4.295;4.326;4.229;4.001;4.108;3.696;3.973;10,2;15,6;10,2;10,3;14,6;13;2,7;8;97.657;50.356;47.301;20.239;10.100;10.139;20,7;20,1;21,4;49,54115116;11,0227042;;;;;;;;;;;50.053;47.906;0,79;0,76;0,97;0,97;1,11;1,08;0,79;0,77;;;;;;;;;;;;;190;;;;
6431;9951;AK Fürth/Erlangen (W);9;BY;A;3;;8+1;Nürnberg;AK Kreuz Fürth/Erlangen (A73);S;Würzburg;AS Erlangen-Frauenaurach;N;4;380,5;258;147;65;46;83.440;42.892;40.548;86.815;45.073;41.742;87.198;43.997;43.201;67.079;34.015;33.063;2,6;1,8;3,8;4;13.091;6.800;6.291;15.888;8.276;7.612;13.613;7.116;6.497;2.853;1.348;1.506;2;2,2;0,6;0,9;15,7;18,3;15,6;4,3;1;0,74;1,09;4.610;13,3;1.210;33,6;4.977;13,2;3.510;14;7.484;7.408;7.049;6.265;4.283;4.283;3.790;3.384;10;9,5;8,8;10,2;R I;R I;R II;R II;F;D;D;E;B;B;B;8;;D;9;17;B;8;;D;9;17;B;8;;D;9;17;B;13;;D;12;;A;;;B;13;;81,8;7,1;1,6;1,4;3,2;12,1;9,4;0,4;1,1;79,4;7,4;1,6;1,2;3,6;14,3;11,1;0,3;1,1;81,7;7;1,7;1,6;3,1;12,2;9,4;0,4;1;92,8;6;1,9;1,8;1,4;2,2;1,8;0,6;1,1;643.408;5.491.613;88.912;45.728;43.184;16.760;8.648;8.112;77.378;40.241;37.137;8.122;4.664;3.458;4.283;3.950;4.283;3.913;3.623;3.790;3.192;3.384;8,4;10,8;8,4;11,1;9,9;9,9;2,7;2,3;89.069;46.155;42.914;17.204;8.883;8.321;19,3;19,2;19,4;49,56011538;10,98305259;;;;;;;;;;;46.382;43.556;0,72;0,73;0,93;0,98;1,09;1,04;0,79;0,75;;;;;;;;;;;;;200;;;;Schleifendefekt zeitweise in 2013
6533;9040;AK Nürnberg (O);9;BY;A;3;;8+1;Passau;AK Kreuz Altdorf (A6);S;Nürnberg;AK Kreuz Nürnberg (A9);N;4;404,4;281;163;59;59;41.830;20.651;21.179;43.183;21.742;21.442;43.910;21.095;22.814;34.533;16.349;18.184;3,2;2,4;4,1;4,7;8.487;4.281;4.206;10.352;5.258;5.094;8.923;4.504;4.419;1.545;650;895;2,7;2,7;1,6;3,3;20,3;24;20,3;4,5;1,02;0,74;1,15;2.303;17,8;622;38,6;2.505;17,7;1.698;18,1;4.664;4.500;4.271;3.921;2.620;2.462;2.413;2.213;12,4;11,5;10,6;12,2;R II;R II;R II;R II;D;C;C;E;B;B;D;9;17;G;8;;E;17;;B;8;;E;16;;D;8;16;A;;;B;12;;A;;;A;;;77;6,8;1;1,6;3,5;16,4;13,1;0,4;1,2;73,4;7,2;0,9;1,4;4;19,6;15,6;0,4;1,2;76,7;6,7;1;1,7;3,4;16,5;13,3;0,3;1,2;92,4;5,2;1,2;2;1,5;2,4;2;0,5;1,1;663.447;5.480.389;44.957;22.218;22.739;10.999;5.495;5.504;35.833;18.441;17.392;5.002;2.933;2.069;2.240;2.620;2.212;2.462;1.975;2.413;1.863;2.213;12,6;11,8;20,8;13,9;18,8;8,1;12,7;2,1;44.836;22.398;22.439;11.264;5.646;5.618;25,1;25,2;25;49,45415266;11,25529647;;;;;;;;;;;22.255;22.141;0,71;0,78;0,93;0,98;1,13;1,19;0,78;0,7;;;;;;;;;;;;;140;;;;
