DZ_Nr,LON,LAT,WKT,Location,Anmerkungen
9180,47.81362364,12.07154323,47.81362364 12.07154323,AD Inntal (W),Hochwasser im Juni 2013
9028,47.83238379,12.38918719,47.83238379 12.38918719,Felden (O),Hochwasser im Juni 2013
9026,47.80351657,12.301066,47.80351657 12.301066,Frasdorf (O),Hochwasser im Juni 2013
9171,47.93634145,11.70464187,47.93634145 11.70464187,Holzkirchen (W),Schleifendefekt zeitweise in 2013 / Hochwasser im Juni 2013
9031,47.83065132,12.74318698,47.83065132 12.74318698,Neukirchen (O),Hochwasser im Juni 2013
9023,47.80598654,12.13809192,47.80598654 12.13809192,Rosenheim (O),Hochwasser im Juni 2013 und Baustelle zeitweise in 2012
9190,47.79483521,12.08998953,47.79483521 12.08998953,AD Inntal (S),
9221,48.09064708,11.5907296,48.09064708 11.5907296,München-Giesing (S),Schleifendefekt zeitweise in 2013
9301,48.08995978,12.1997821,48.08995978 12.1997821,Soyen,Gerätedefekt zeitweise in 2013
9135,47.99556345,12.53520535,47.99556345 12.53520535,Altenmarkt,
9937,47.90504655,12.61637728,47.90504655 12.61637728,Nußdorf-Aiging,Datenübertragungsprobleme zeitweise in 2013 und Freigabe Ettendorfer Tunnel Ende 2012
9321,48.08516665,12.02446436,48.08516665 12.02446436,Steinhöring,Gerätedefekt zeitweise in 2013 und Schleifendefekt zeitweise in 2012
9142,47.86947915,12.66766039,47.86947915 12.66766039,Traunstein,Ausweichverkehr durch Hochwasser im Juni 2013 und Gerätedefekt in 2012
9143,47.87556106,12.65792407,47.87556106 12.65792407,Tunnel Ettendorf,Neue Zählstelle ab Januar 2013 / Ausweichverkehr durch Hochwasser im Juni 2013
9147,47.71463128,12.47605042,47.71463128 12.47605042,Unterwössen-Oberwössen,
