DZ_Nr,LAT,LON,WKT,Location,Anmerkungen,,
9023,47.80598654,12.13809192,47.80598654 12.13809192,Rosenheim (O),Hochwasser im Juni 2013 und Baustelle zeitweise in 2012,,
9026,47.80351657,12.301066,47.80351657 12.301066,Frasdorf (O),Hochwasser im Juni 2013,,
9031,47.83065132,12.74318698,47.83065132 12.74318698,Neukirchen (O),Hochwasser im Juni 2013,,
9135,47.99556345,12.53520535,47.99556345 12.53520535,Altenmarkt,,,
9142,47.86947915,12.66766039,47.86947915 12.66766039,Traunstein,Ausweichverkehr durch Hochwasser im Juni 2013 und Gerätedefekt in 2012,,
9143,47.87556106,12.65792407,47.87556106 12.65792407,Tunnel Ettendorf,Neue Zählstelle ab Januar 2013 / Ausweichverkehr durch Hochwasser im Juni 2013,,
9147,47.71463128,12.47605042,47.71463128 12.47605042,Unterwössen-Oberwössen,,,
9171,47.93634145,11.70464187,47.93634145 11.70464187,Holzkirchen (W),Schleifendefekt zeitweise in 2013 / Hochwasser im Juni 2013,,
9180,47.81362364,12.07154323,47.81362364 12.07154323,AD Inntal (W),Hochwasser im Juni 2013,,
9190,47.79483521,12.08998953,47.79483521 12.08998953,AD Inntal (S),,,
9221,48.09064708,11.5907296,48.09064708 11.5907296,München-Giesing (S),Schleifendefekt zeitweise in 2013,,
9301,48.08995978,12.1997821,48.08995978 12.1997821,Soyen,Gerätedefekt zeitweise in 2013,,
9321,48.08516665,12.02446436,48.08516665 12.02446436,Steinhöring,Gerätedefekt zeitweise in 2013 und Schleifendefekt zeitweise in 2012,,
9937,47.90504655,12.61637728,47.90504655 12.61637728,Nußdorf-Aiging,Datenübertragungsprobleme zeitweise in 2013 und Freigabe Ettendorfer Tunnel Ende 2012,,
9320,48.07627081,11.83049925,48.07627081 11.83049925,Zornerding,,,
9244,48.07969138,11.73510692,48.07969138 11.73510692,Neu-Keferloh,,,
9984,48.24783831,12.40571395,48.24783831 12.40571395,Wimpasing ,,,
9462,48.40672972,12.7807766,48.40672972 12.7807766,Eggenfelden ,,,
9863,48.24815231,12.9972138,48.24815231 12.9972138,Simbach a. Inn,,,
9109,47.92615692,12.93863496,47.92615692 12.93863496,Laufen ,,,
9144,47.83731738,12.99250794,47.83731738 12.99250794,Freilassing,,,
9032,47.7683312,12.94081783,47.7683312 12.94081783,Bad Reichenhall,,,
9121,47.69261768,12.84981641,47.69261768 12.84981641,Schneizlreuth-Baumgarten,,,
9285,47.67129144,12.76316727,47.67129144 12.76316727,Schneizlreuth-Melleck,,,
9147,47.71463128,12.47605042,47.71463128 12.47605042,Unterwössen-Oberwössen,,,
9629,47.71147526,12.1505882,47.71147526 12.1505882,Fischbach am Inn,,,
9191,47.60601589,12.19531279,47.60601589 12.19531279,Kiefersfelden ,,,
9830,48.0647167,11.51611229,48.0647167 11.51611229,Pullach ,,,cut-off to east: Pulling
9043,48.10067303,11.49816872,48.10067303 11.49816872,München-Kreuzhof,,,
9151,48.02372557,11.42157285,48.02372557 11.42157285,AD Starnberg ,,,
9150,48.00512629,11.39575707,48.00512629 11.39575707,AD Starnberg ,,,
9161,47.85485571,11.38688235,47.85485571 11.38688235,Seeshaupt ,,,
9164,47.66206016,11.24500995,47.66206016 11.24500995,Murnau/Kochel ,,,
9204,47.79987048,11.11814899,47.79987048 11.11814899,Polling ,,,
9360,47.60318071,11.18641414,47.60318071 11.18641414,Eschenlohe ,,,
9361,47.58494014,11.17206035,47.58494014 11.17206035,Eschenlohe ,,,
9352,47.55868124,11.13528422,47.55868124 11.13528422,Oberau,,,
9163,47.51244683,11.10432906,47.51244683 11.10432906,GAP - Garmisch ,,,
